CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
QTSSA000475,SSA,SECRETARIA DE SALUD,22,QUERETARO,004,CADEREYTA DE MONTES,0001,CADEREYTA DE MONTES,HOSPITAL GENERAL CADEREYTA,20.7006297,-99.8156506,
QTSSA001052,SSA,SECRETARIA DE SALUD,22,QUERETARO,009,JALPAN DE SERRA,0001,JALPAN DE SERRA,HOSPITAL GENERAL JALPAN,21.218638,-99.476997,
QTSSA001740,SSA,SECRETARIA DE SALUD,22,QUERETARO,014,QUERETARO,0001,SANTIAGO DE QUERETARO,HOSPITAL DE ESPECIALIDADES DEL NIÑO Y LA MUJER DR. FELIPE NUÑEZ LARA,20.5783411,-100.3703179,
QTSSA001752,SSA,SECRETARIA DE SALUD,22,QUERETARO,014,QUERETARO,0001,SANTIAGO DE QUERETARO,HOSPITAL GENERAL QUERETARO,20.5797,-100.4053,
QTSSA002901,SSA,SECRETARIA DE SALUD,22,QUERETARO,014,QUERETARO,0001,SANTIAGO DE QUERETARO,HOSPITAL GENERAL DE QUERETARO,20.5747375,-100.4164841,
QTSSA012935,SSA,SECRETARIA DE SALUD,22,QUERETARO,016,SAN JUAN DEL RIO,0001,SAN JUAN DEL RIO,HOSPITAL GENERAL SAN JUAN DEL RÍO,20.3774792,-99.9540374,
SLSME000016,SME,SERVICIOS MEDICOS ESTATALES,25,SINALOA,006,CULIACAN,0001,CULIACAN ROSALES,HOSPITAL CIVIL DE CULIACÁN,24.8197395,-107.3958806,
SLSME000021,SME,SERVICIOS MEDICOS ESTATALES,25,SINALOA,006,CULIACAN,0001,CULIACAN ROSALES,HOSPITAL PEDIATRICO,24.798775,-107.3994245,
SLSSA000024,SSA,SECRETARIA DE SALUD,25,SINALOA,001,AHOME,0001,LOS MOCHIS,HOSPITAL GENERAL LOS MOCHIS,25.7710931,-108.988561,
SLSSA000666,SSA,SECRETARIA DE SALUD,25,SINALOA,006,CULIACAN,0001,CULIACAN ROSALES,HOSPITAL GENERAL CULIACÁN,24.7942929,-107.3866778,
SLSSA001540,SSA,SECRETARIA DE SALUD,25,SINALOA,012,MAZATLAN,0001,MAZATLAN,HOSPITAL GENERAL DE MAZATLÁN,23.2383,-106.4,
SLSSA002556,SSA,SECRETARIA DE SALUD,25,SINALOA,006,CULIACAN,0001,CULIACAN ROSALES,HOSPITAL PEDIÁTRICO DE SINALOA,24.798775,-107.3994245,
SLSSA002585,SSA,SECRETARIA DE SALUD,25,SINALOA,012,MAZATLAN,0001,MAZATLAN,HOSPITAL GENERAL DE MAZATLÁN,23.2919,-106.4527,
SLSSA017606,SSA,SECRETARIA DE SALUD,25,SINALOA,006,CULIACAN,0001,CULIACAN ROSALES,HOSPITAL DE LA MUJER,24.795667,-107.450432,
SPSSA000356,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,013,CIUDAD VALLES,0001,CIUDAD VALLES,HOSPITAL GENERAL CD. VALLES,21.948257,-98.993798,
SPSSA000752,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,020,MATEHUALA,0001,MATEHUALA,JURISDICCIÓN SANITARIA NO. II,23.655587,-100.642468,
SPSSA000945,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,024,RIOVERDE,0001,RIOVERDE,HOSPITAL GENERAL DE RÍOVERDE,21.9196964,-99.9918851,
SPSSA001102,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,028,SAN LUIS POTOSI,0001,SAN LUIS POTOSI,HOSPITAL CENTRAL DR. IGNACIO MORONES PRIETO,22.147998,-101.014679,
SPSSA017301,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,028,SAN LUIS POTOSI,0001,SAN LUIS POTOSI,HOSPITAL DEL NIÑO Y LA MUJER DR. ALBERTO LÓPEZ HERMOSA,22.116164,-100.98585,
SPSSA017313,SSA,SECRETARIA DE SALUD,24,SAN LUIS POTOSI,035,SOLEDAD DE GRACIANO SANCHEZ,0001,SOLEDAD DE GRACIANO SANCHEZ,HOSPITAL GENERAL DE SOLEDAD DE GRACIANO SÁNCHEZ,22.164571,-100.938266,
SRSME000011,SME,SERVICIOS MEDICOS ESTATALES,26,SONORA,030,HERMOSILLO,0001,HERMOSILLO,CENTRO MÉDICO DR. IGNACIO CHÁVEZ,29.096611,-110.954414,
SRSSA000562,SSA,SECRETARIA DE SALUD,26,SONORA,018,CAJEME,0001,CIUDAD OBREGON,HOSPITAL GENERAL CD. OBREGÓN,27.4833703,-109.9548751,
SRSSA001105,SSA,SECRETARIA DE SALUD,26,SONORA,030,HERMOSILLO,0001,HERMOSILLO,HOSPITAL INFANTIL DEL ESTADO DE SONORA,29.1163811,-110.9718024,
SRSSA001110,SSA,SECRETARIA DE SALUD,26,SONORA,030,HERMOSILLO,0001,HERMOSILLO,HOSPITAL GENERAL DEL ESTADO DR. ERNESTO RAMOS BOURS,29.0864,-110.9622,
